id,類別,描述
1,宏觀＿本體＿觀察,"在「宏觀架構」下，對「健檢指標作為本體」進
行「觀察」時所需要的欄位與資料結構。此冊界定，當關注焦點是整體方案、
機構與族群時，健檢指標本體應被如何記錄與整理，包括如何在宏觀層級標示
指標種類、來源、時間與彙整方式，讓後續針對健檢指標的理解與符號化都能
建立在一致的宏觀觀測基準之上。"","
2,宏觀＿本體＿理解,"在「宏觀架構」下，對「健檢指標本體」已被觀
察到的資料進行「理解」時所使用的模式與語意結構。此冊說明，從方案與族
群的高度來看健檢指標時，如何把單一指標與多指標的分佈與變化，抽象成宏
觀層級的行為輪廓，形成可被命名、可被反覆調用的指標行為類型，作為制度
與策略層級對健檢指標的整體理解框架。"
3,宏觀_本體_符號化,"在「宏觀架構」下，針對「健檢指標本體」完成
「理解」之後如何進行「符號化」，將各種判斷濃縮為結構化標籤。此冊界定宏
觀尺度下用來描述指標本體狀態與重要性的符號系統，說明哪些宏觀觀察與理
解會收斂成哪些風險、層級或決策 token，使健檢指標在制度、管理與評估中
能以穩定的符號形式被引用與追蹤。"
4,宏觀_客體_觀察,"在「宏觀架構」下，對「健檢指標的客體」進行
「觀察」時所需的資訊與欄位結構。此冊聚焦於各類使用健檢指標的角色與系
統，在整體方案與制度尺度中，與指標互動時被觀察到的需求、責任與界面，
說明如何在宏觀層級記錄客體與健檢指標之間的關係，為後續理解客體如何運
用指標提供觀測基礎。"
5,宏觀_客體_理解,"在「宏觀架構」下，對「健檢指標的客體」運用
指標的行為進行「理解」時的結構與語彙。此冊描述在制度與方案層級，各類
客體長期面對健檢指標時形成的使用模式與解讀方式，將這些穩定行為抽象成
宏觀行為類型，讓系統能理解不同客體在整體健檢指標生態中的角色與影響。"
6,宏觀_客體_符號化,"在「宏觀架構」下，對「健檢指標的客體」完成
「理解」之後所形成的「符號化」標籤。此冊界定，用於描述客體如何管理、
使用與回應健檢指標的宏觀符號集合，說明這些符號如何總結客體與指標之間
的關係與表現，並使關於客體對指標的運用，可以在整體治理與分析時以統一 
token 形式被引用。"
7,宏觀_環境_觀察,"：在「宏觀架構」下，對「健檢指標所處環境」進
行「觀察」時必須記錄的條件與結構。此冊說明，在從方案與機構層級看健檢
指標時，應如何記錄不同健檢模式、流程設計與場域設定，使每一組指標資料
都能明確連結到對應的宏觀環境描述，作為解讀與比較指標時不可缺少的情境
基底。"
8,宏觀_環境_理解,"在「宏觀架構」下，對「健檢指標所處環境」的
長期運作與流程行為進行「理解」。此冊整理環境在持續產生健檢指標資料過程
中呈現的宏觀行為型態，說明這些行為如何影響指標的產生、分佈與可解釋
性，使對健檢指標的宏觀理解能同時納入環境本身的行為結構。"
9,宏觀_環境_符號化,"在「宏觀架構」下，對「健檢指標所處環境」的
長期運作與流程行為進行「理解」。此冊整理環境在持續產生健檢指標資料過程
中呈現的宏觀行為型態，說明這些行為如何影響指標的產生、分佈與可解釋
性，使對健檢指標的宏觀理解能同時納入環境本身的行為結構。"
10,微觀＿本體＿觀察,"在「微觀觀點」下，對「健檢指標本體」進行
「觀察」時所需的細節欄位與條件。此冊聚焦於單一指標、單一個案與短期序
列等細部層級，說明在微觀視角應如何具體記錄每一筆指標的量測狀態與背景
訊息，使後續對健檢指標的精細理解與符號化有足夠的觀測支撐。"
